Result Number,Local Granule ID,Entity ID,Acquisition Start Date,Acquisition End Date,Horizontal Tile Number,Vertical Tile Number,Day/Night Indicator,Version Number,Product Generation Algorithm,Auto Quality Flag,Auto Quality Flag Explanation,Science Quality Flag,Science Quality Flag Expln,Missing Data Percentage,Date Entered,Date Updated,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Browse Link
1,MYD13A1.A2016345.h11v05.005.2016362010425.hdf,2245157290,2016/12/10,2016/12/25,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Not Investigated,See http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/qaFlagPage.cgi?sat=aqua for the product Science Quality status.,0,2016/12/27,,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016345.h11v05.005,2245157290,https://earthexplorer.usgs.gov/browse/4318/2245157290
2,MYD13A1.A2016345.h12v05.005.2016362010951.hdf,2245157766,2016/12/10,2016/12/25,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Not Investigated,See http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/qaFlagPage.cgi?sat=aqua for the product Science Quality status.,0,2016/12/27,,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016345.h12v05.005,2245157766,https://earthexplorer.usgs.gov/browse/4318/2245157766
3,MYD13A1.A2016329.h11v05.005.2016350105816.hdf,2244854589,2016/11/24,2016/12/09,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-12-16 02:12,0,2016/12/15,2016/12/16,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016329.h11v05.005,2244854589,https://earthexplorer.usgs.gov/browse/4318/2244854589
4,MYD13A1.A2016329.h12v05.005.2016350104936.hdf,2244853286,2016/11/24,2016/12/09,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-12-16 02:12,0,2016/12/15,2016/12/16,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016329.h12v05.005,2244853286,https://earthexplorer.usgs.gov/browse/4318/2244853286
5,MYD13A1.A2016313.h11v05.005.2016336102404.hdf,2244369509,2016/11/08,2016/11/23,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-12-02 02:12,0,2016/12/01,2016/12/02,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016313.h11v05.005,2244369509,https://earthexplorer.usgs.gov/browse/4318/2244369509
6,MYD13A1.A2016313.h12v05.005.2016336100428.hdf,2244368401,2016/11/08,2016/11/23,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-12-02 02:12,0,2016/12/01,2016/12/02,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016313.h12v05.005,2244368401,https://earthexplorer.usgs.gov/browse/4318/2244368401
7,MYD13A1.A2016297.h12v05.005.2016314013041.hdf,2243820691,2016/10/23,2016/11/07,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-11-10 02:10,0,2016/11/09,2016/11/10,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016297.h12v05.005,2243820691,https://earthexplorer.usgs.gov/browse/4318/2243820691
8,MYD13A1.A2016297.h11v05.005.2016314011656.hdf,2243819494,2016/10/23,2016/11/07,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-11-10 02:10,0,2016/11/09,2016/11/10,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016297.h11v05.005,2243819494,https://earthexplorer.usgs.gov/browse/4318/2243819494
9,MYD13A1.A2016281.h12v05.005.2016301142022.hdf,2243436106,2016/10/07,2016/10/22,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-10-28 02:11,0,2016/10/27,2016/10/28,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016281.h12v05.005,2243436106,https://earthexplorer.usgs.gov/browse/4318/2243436106
10,MYD13A1.A2016281.h11v05.005.2016301140956.hdf,2243435535,2016/10/07,2016/10/22,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-10-28 02:11,0,2016/10/27,2016/10/28,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016281.h11v05.005,2243435535,https://earthexplorer.usgs.gov/browse/4318/2243435535
11,MYD13A1.A2016265.h11v05.005.2016282022729.hdf,2242946550,2016/09/21,2016/10/06,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-10-09 02:10,0,2016/10/08,2016/10/09,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016265.h11v05.005,2242946550,https://earthexplorer.usgs.gov/browse/4318/2242946550
12,MYD13A1.A2016265.h12v05.005.2016282023529.hdf,2242947421,2016/09/21,2016/10/06,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-10-09 02:10,0,2016/10/08,2016/10/09,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016265.h12v05.005,2242947421,https://earthexplorer.usgs.gov/browse/4318/2242947421
13,MYD13A1.A2016249.h11v05.005.2016266023853.hdf,2242457489,2016/09/05,2016/09/20,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-09-23 02:10,0,2016/09/22,2016/09/23,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016249.h11v05.005,2242457489,https://earthexplorer.usgs.gov/browse/4318/2242457489
14,MYD13A1.A2016249.h12v05.005.2016266025113.hdf,2242458205,2016/09/05,2016/09/20,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-09-23 02:10,0,2016/09/22,2016/09/23,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016249.h12v05.005,2242458205,https://earthexplorer.usgs.gov/browse/4318/2242458205
15,MYD13A1.A2016233.h11v05.005.2016250024321.hdf,2241971777,2016/08/20,2016/09/04,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-09-07 02:10,0,2016/09/06,2016/09/07,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016233.h11v05.005,2241971777,https://earthexplorer.usgs.gov/browse/4318/2241971777
16,MYD13A1.A2016233.h12v05.005.2016250022008.hdf,2241969921,2016/08/20,2016/09/04,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-09-07 02:10,0,2016/09/06,2016/09/07,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016233.h12v05.005,2241969921,https://earthexplorer.usgs.gov/browse/4318/2241969921
17,MYD13A1.A2016217.h12v05.005.2016236225122.hdf,2240741164,2016/08/04,2016/08/19,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-08-24 02:12,0,2016/08/24,,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016217.h12v05.005,2240741164,https://earthexplorer.usgs.gov/browse/4318/2240741164
18,MYD13A1.A2016217.h11v05.005.2016236233220.hdf,2240754840,2016/08/04,2016/08/19,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-08-24 02:13,0,2016/08/24,,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016217.h11v05.005,2240754840,https://earthexplorer.usgs.gov/browse/4318/2240754840
19,MYD13A1.A2016201.h12v05.005.2016218030505.hdf,2238293156,2016/07/19,2016/08/03,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-08-06 02:10,0,2016/08/05,2016/08/06,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016201.h12v05.005,2238293156,https://earthexplorer.usgs.gov/browse/4318/2238293156
20,MYD13A1.A2016201.h11v05.005.2016218023506.hdf,2238290197,2016/07/19,2016/08/03,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-08-06 02:10,0,2016/08/05,2016/08/06,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016201.h11v05.005,2238290197,https://earthexplorer.usgs.gov/browse/4318/2238290197
